Voltage_V,Current_mA,Scan_Rate_mV_s
2.0,-2.7658257929019463e+26,10.0
1.9798989898989898,8.863317017774394e+26,10.0
1.9597979797979799,1.993879677073706e+26,10.0
1.9396969696969697,1.8335702128787e+26,10.0
1.9195959595959595,3.796861704736109e+26,10.0
1.8994949494949496,-6.949437399403617e+26,10.0
1.8793939393939394,6.340915077648042e+26,10.0
1.8592929292929292,-4.6233176998477386e+25,10.0
1.8391919191919193,4.091437107556226e+26,10.0
1.819090909090909,-6.54073493414889e+26,10.0
1.798989898989899,-9.48141608455429e+26,10.0
1.778888888888889,4.990962939100088e+26,10.0
1.7587878787878788,2.2969431056775115e+26,10.0
1.7386868686868686,-5.5045392901171586e+26,10.0
1.7185858585858584,-5.3068969151756156e+26,10.0
1.6984848484848485,6.867678488157465e+26,10.0
1.6783838383838383,-7.25808242748824e+26,10.0
1.6582828282828284,1.002399236127425e+27,10.0
1.6381818181818182,-5.495808114832305e+26,10.0
1.618080808080808,3.8956237601178234e+26,10.0
1.5979797979797978,-2.005310355093728e+26,10.0
1.5778787878787879,3.680797317127811e+26,10.0
1.5577777777777777,-3.3203167940994396e+26,10.0
1.5376767676767678,-9.934021503439957e+25,10.0
1.5175757575757576,2.49698822500057e+25,10.0
1.4974747474747474,-6.1155931080482675e+26,10.0
1.4773737373737372,4.520691449034283e+26,10.0
1.4572727272727273,-3.131754775003247e+26,10.0
1.437171717171717,-1.3949726257867419e+26,10.0
1.4170707070707071,-6.0677632189211424e+26,10.0
1.396969696969697,-1.5635987034957166e+27,10.0
1.3768686868686868,-1.1656981552715163e+26,10.0
1.3567676767676766,1.4722369713010557e+27,10.0
1.3366666666666667,4.787847371524765e+26,10.0
1.3165656565656565,-1.175315504883741e+25,10.0
1.2964646464646465,-1.604224173926162e+26,10.0
1.2763636363636364,1.3709237575166177e+25,10.0
1.2562626262626262,3.338654730671689e+26,10.0
1.236161616161616,-7.205608765105176e+26,10.0
1.216060606060606,6.799863675393298e+26,10.0
1.195959595959596,4.365431853473487e+26,10.0
1.175858585858586,4.382545051210009e+26,10.0
1.1557575757575758,2.675686261101956e+26,10.0
1.1356565656565656,1.1970564579735073e+25,10.0
1.1155555555555554,4.105963923092938e+26,10.0
1.0954545454545455,3.611394671632402e+26,10.0
1.0753535353535353,-2.1604430582794777e+26,10.0
1.0552525252525253,-3.50025838886754e+26,10.0
1.0351515151515152,6.2155203975259416e+25,10.0
1.015050505050505,9.452500037461654e+26,10.0
0.9949494949494948,-7.56133460738507e+26,10.0
0.9748484848484849,-8.955198301397882e+26,10.0
0.9547474747474747,1.0054109731607563e+26,10.0
0.9346464646464645,3.1052920985957334e+25,10.0
0.9145454545454546,1.0577732558052142e+26,10.0
0.8944444444444444,1.4886621133644756e+26,10.0
0.8743434343434342,-1.3620347793800574e+26,10.0
0.8542424242424242,9.09151129867831e+26,10.0
0.8341414141414141,-9.769107846605529e+26,10.0
0.8140404040404039,-5.0556915933036186e+26,10.0
0.793939393939394,-6.3008581472285185e+25,10.0
0.7738383838383838,-1.0027140243462184e+27,10.0
0.7537373737373736,-1.073106610574077e+26,10.0
0.7336363636363636,1.0138697542847462e+27,10.0
0.7135353535353535,1.2745446288058444e+25,10.0
0.6934343434343433,1.407793383348416e+26,10.0
0.6733333333333333,-7.689833782022712e+26,10.0
0.6532323232323232,-3.761188146557924e+26,10.0
0.633131313131313,-2.2895401300261896e+26,10.0
0.613030303030303,-1.938775270994114e+26,10.0
0.5929292929292929,7.820904078356799e+26,10.0
0.5728282828282827,3.403167329558546e+26,10.0
0.5527272727272727,-6.782388446943941e+26,10.0
0.5326262626262626,1.504232482136456e+26,10.0
0.5125252525252524,3.0402710331329654e+26,10.0
0.49242424242424243,6.957468447993646e+26,10.0
0.47232323232323226,9.64484605611897e+26,10.0
0.4522222222222221,-6.19435317030465e+26,10.0
0.43212121212121213,-4.948050964794419e+26,10.0
0.41202020202020195,-7.674047846974216e+26,10.0
0.3919191919191918,-1.4280464491312833e+26,10.0
0.3718181818181818,2.8458329271374966e+26,10.0
0.35171717171717165,6.024956838706842e+26,10.0
0.3316161616161615,-4.6347173284557845e+25,10.0
0.3115151515151515,-1.9517878593316753e+26,10.0
0.29141414141414135,9.260644066067694e+25,10.0
0.2713131313131312,-5.0962463602063256e+26,10.0
0.2512121212121212,1.275087662741663e+27,10.0
0.23111111111111104,-9.810341010987327e+26,10.0
0.21101010101010087,1.1273322217576989e+26,10.0
0.19090909090909092,1.2348540362507456e+27,10.0
0.17080808080808074,4.1494315549135707e+24,10.0
0.15070707070707057,-1.1596646975424316e+26,10.0
0.13060606060606061,-2.1812194433007977e+26,10.0
0.11050505050505044,-1.1007941871970058e+26,10.0
0.09040404040404026,8.377457353142346e+26,10.0
0.07030303030303031,-1.349732266524814e+27,10.0
0.05020202020202014,9.357387704064e+26,10.0
0.030101010101009962,-8.689335012127873e+26,10.0
0.01,-1.6271777676001293e+26,10.0
0.030067114093959735,-2.619354496477583e+26,10.0
0.05013422818791947,3.5914960816913325e+26,10.0
0.0702013422818792,-9.75214588491194e+26,10.0
0.09026845637583893,2.8202907103800008e+26,10.0
0.11033557046979865,1.235283270620017e+27,10.0
0.1304026845637584,-8.318421369174993e+26,10.0
0.15046979865771815,1.157633459263319e+26,10.0
0.17053691275167787,-4.039577247837253e+26,10.0
0.1906040268456376,2.5988679544344863e+26,10.0
0.21067114093959732,1.1684442359577985e+25,10.0
0.23073825503355708,-3.914510102350541e+26,10.0
0.2508053691275168,2.9771160733893405e+26,10.0
0.27087248322147656,1.1010573722291556e+27,10.0
0.2909395973154363,-1.1649416547047824e+26,10.0
0.311006711409396,4.392139100677237e+26,10.0
0.33107382550335573,-7.891868076038557e+26,10.0
0.35114093959731546,-5.836408828494168e+26,10.0
0.3712080536912752,2.8827387139225645e+26,10.0
0.3912751677852349,9.056439195960445e+26,10.0
0.41134228187919464,2.170039679260265e+26,10.0
0.4314093959731544,-1.9103567131721537e+26,10.0
0.45147651006711415,-4.324017512506483e+23,10.0
0.47154362416107387,-7.630293989902157e+26,10.0
0.4916107382550336,3.68890045717264e+26,10.0
0.5116778523489933,5.384212269036814e+26,10.0
0.5317449664429531,-2.7587658455675074e+26,10.0
0.5518120805369128,-2.8683122133798998e+26,10.0
0.5718791946308726,1.622454022512454e+26,10.0
0.5919463087248322,-2.6649707024788075e+26,10.0
0.612013422818792,-4.0355739828473365e+25,10.0
0.6320805369127517,1.281301619710861e+27,10.0
0.6521476510067115,-1.5074112775754754e+26,10.0
0.6722147651006712,-2.186679299901367e+26,10.0
0.6922818791946309,-3.951458563089794e+26,10.0
0.7123489932885907,4.5412415272272494e+26,10.0
0.7324161073825504,-1.1058742537852594e+26,10.0
0.7524832214765101,-3.962633193076906e+26,10.0
0.7725503355704698,8.062920551745735e+26,10.0
0.7926174496644296,8.66276493588113e+26,10.0
0.8126845637583893,-3.663931532562495e+26,10.0
0.832751677852349,-1.1390083559035386e+27,10.0
0.8528187919463088,6.148095092070978e+26,10.0
0.8728859060402685,-4.1777787379958976e+26,10.0
0.8929530201342283,4.8245908863680854e+26,10.0
0.913020134228188,-1.2022055615447724e+27,10.0
0.9330872483221477,5.4468473928943516e+26,10.0
0.9531543624161074,-7.390867507984517e+26,10.0
0.9732214765100672,4.459301485642044e+26,10.0
0.993288590604027,8.709775281386197e+24,10.0
1.0133557046979866,-5.821171783258669e+26,10.0
1.0334228187919463,-2.48383519057177e+26,10.0
1.0534899328859062,4.1880831787965796e+26,10.0
1.0735570469798659,6.461938671828814e+25,10.0
1.0936241610738255,3.5662310231905415e+26,10.0
1.1136912751677852,1.2060724117204413e+27,10.0
1.133758389261745,-9.545385112663053e+26,10.0
1.1538255033557048,9.868626893407186e+26,10.0
1.1738926174496644,6.368054685386017e+25,10.0
1.1939597315436243,-5.484600211457626e+26,10.0
1.214026845637584,-8.117899295882814e+26,10.0
1.2340939597315437,-1.154058905673713e+26,10.0
1.2541610738255033,5.624134527293687e+26,10.0
1.2742281879194632,-7.783359460980656e+25,10.0
1.294295302013423,9.221437191115435e+26,10.0
1.3143624161073826,-8.855429189425365e+26,10.0
1.3344295302013425,-7.376971812279232e+24,10.0
1.3544966442953021,-7.642411280942574e+26,10.0
1.3745637583892618,2.2189707350626728e+26,10.0
1.3946308724832215,5.412003891691732e+26,10.0
1.4146979865771814,-2.567591432927787e+26,10.0
1.434765100671141,-1.5891550250903036e+27,10.0
1.4548322147651007,1.2140302781057371e+26,10.0
1.4748993288590606,2.6650855206936602e+26,10.0
1.4949664429530203,2.4671055333330614e+26,10.0
1.51503355704698,7.54104535313568e+26,10.0
1.5351006711409396,-6.535831658466941e+26,10.0
1.5551677852348995,4.150845137752974e+26,10.0
1.5752348993288592,7.276972670913097e+26,10.0
1.5953020134228189,-1.0853376687291297e+27,10.0
1.6153691275167785,1.9505936701785596e+26,10.0
1.6354362416107384,-3.0766287049288673e+26,10.0
1.655503355704698,-4.974712928522927e+25,10.0
1.6755704697986578,2.121606997752649e+26,10.0
